# q intensity propagated_error
2.455776534178084197e-02 4.609445953069793434e-03 6.561375727974018456e-04
2.466898372110789758e-02 5.373027685078423515e-03 6.673543188757380916e-04
2.478020210043495319e-02 4.932733670373497942e-03 6.579286644703661062e-04
2.489142047976201227e-02 4.770605261832778360e-03 6.523985902144670323e-04
2.500263885908906789e-02 4.703215823708889465e-03 6.491611678002761569e-04
2.511385723841612350e-02 4.436802455008437285e-03 6.425995484208140698e-04
2.522507561774318258e-02 4.390797045296716133e-03 6.473730781655935964e-04
2.533629399707023819e-02 4.970181012788857378e-03 6.482919538425283490e-04
2.544751237639729380e-02 4.459498734376374923e-03 6.402640855670567845e-04
2.555873075572435288e-02 4.392798988312966030e-03 6.334196246415848500e-04
2.566994913505140849e-02 4.970188639090326183e-03 6.382650753541912591e-04
2.578116751437846410e-02 4.353012467309839983e-03 6.266055761103067265e-04
2.589238589370552318e-02 4.037212732663560122e-03 6.228665885167597623e-04
2.600360427303257879e-02 4.742154739803397523e-03 6.262819316664636118e-04
2.611482265235963440e-02 5.151827837071420307e-03 6.322850832120390473e-04
2.622604103168669348e-02 4.921666420143418208e-03 6.256939172349929024e-04
2.633725941101374909e-02 4.417056810123450028e-03 6.216442551677933345e-04
2.644847779034080471e-02 4.205803463025362121e-03 6.188136270421667378e-04
2.655969616966786379e-02 4.602597716112537263e-03 6.235331416400605826e-04
2.667091454899491940e-02 5.126213528360394622e-03 6.219120886350303773e-04
2.678213292832197501e-02 4.507075249079377927e-03 6.183569872593662996e-04
2.689335130764903409e-02 4.569593408547654306e-03 6.149327625776469710e-04
2.700456968697608970e-02 4.011613488435417790e-03 6.066315749824872407e-04
2.711578806630314531e-02 3.630860304249278192e-03 6.026301325167943536e-04
2.722700644563020439e-02 4.486542572552813801e-03 6.094168227054567056e-04
2.733822482495726000e-02 4.787754547401289196e-03 6.122401919425979984e-04
2.744944320428431561e-02 4.601953276732049375e-03 6.052693037143653653e-04
2.756066158361137469e-02 3.515862246390305534e-03 5.941191243398122584e-04
2.767187996293843030e-02 3.624749040206792783e-03 5.930512123218705184e-04
2.778309834226548591e-02 4.104659406495445029e-03 6.031760042864365212e-04
2.789431672159254499e-02 3.701010247925365371e-03 5.958881784019688004e-04
2.800553510091960061e-02 4.038830826022250797e-03 5.944957392970504507e-04
2.811675348024665622e-02 3.486995050329788626e-03 5.890698016741392979e-04
2.822797185957371530e-02 4.097674356354916864e-03 5.960031220415263047e-04
2.833919023890077091e-02 4.306435294573088962e-03 5.945739000316276101e-04
2.845040861822782652e-02 4.471156233858325502e-03 5.932244433036254136e-04
2.856162699755488560e-02 3.129304738015901283e-03 5.807532962686094051e-04
2.867284537688194121e-02 3.450755803240009023e-03 5.815625726341203377e-04
2.878406375620899682e-02 3.779314653127446855e-03 5.832736445963501845e-04
2.889528213553605590e-02 4.654775140290379892e-03 5.906702516333253499e-04
2.900650051486311151e-02 4.331390218662998365e-03 5.868356260875513385e-04
2.911771889419016712e-02 3.698564843780140915e-03 5.768360231968845762e-04
2.922893727351722620e-02 4.734694810097875295e-03 5.859667795597085001e-04
2.934015565284428181e-02 4.639781583407717042e-03 5.850037691237231071e-04
2.945137403217133742e-02 4.188549449212167208e-03 5.758205644482248132e-04
2.956259241149839651e-02 4.830647960787647771e-03 5.840887584954761397e-04
2.967381079082545212e-02 4.345197843199994497e-03 5.778498985729533122e-04
2.978502917015250773e-02 3.620293805381546298e-03 5.700522414310280929e-04
2.989624754947956681e-02 3.593493685205138843e-03 5.640038340257285667e-04
3.000746592880662242e-02 3.811303404388545479e-03 5.686051883467944544e-04
3.011868430813367803e-02 3.987200773410401466e-03 5.703850228383828451e-04
3.022990268746073711e-02 4.004343745802274590e-03 5.647907106721641477e-04
3.034112106678779272e-02 3.130523494010491875e-03 5.570598770788959958e-04
3.045233944611484833e-02 3.436357774687117533e-03 5.625639250547861091e-04
3.056355782544190741e-02 2.933833339427517617e-03 5.542967731702739187e-04
3.067477620476896302e-02 3.679522372218205217e-03 5.625929077930747575e-04
3.078599458409601863e-02 3.849890768803876373e-03 5.608224678634314737e-04
3.089721296342307771e-02 3.314944698778798937e-03 5.565285832327831767e-04
3.100843134275013332e-02 3.110286010350283431e-03 5.562328633625431701e-04
3.111964972207718894e-02 3.755232072059581233e-03 5.683000102371711269e-04
3.123086810140424802e-02 2.425440813073061197e-03 5.601016299081631967e-04
3.134208648073130710e-02 4.042743767503131913e-03 5.782951964703223705e-04
3.145330486005835924e-02 3.641996273264426487e-03 5.771710788782788209e-04
3.156452323938541138e-02 2.699574373740076805e-03 5.723050161363267075e-04
3.167574161871247740e-02 3.818826362060392943e-03 5.789890021693113028e-04
3.178695999803952954e-02 5.872314345047903450e-03 6.016803162710440212e-04
3.189817837736658168e-02 3.920478023628642256e-03 5.839775814361731435e-04
3.200939675669364770e-02 3.478125912856344648e-03 5.812596356018329786e-04
3.212061513602069984e-02 3.054502530769009211e-03 5.749515937439391919e-04
3.223183351534775198e-02 2.736341457335540739e-03 5.720125082263042464e-04
3.234305189467481800e-02 3.705125848215792828e-03 5.827269344653733443e-04
3.245427027400187014e-02 2.243738136026317276e-03 5.670620093451803501e-04
3.256548865332892229e-02 3.713305934692146676e-03 5.806347715777294537e-04
3.267670703265598831e-02 3.143427818381849120e-03 5.770964930917741502e-04
3.278792541198304045e-02 3.472876528264202955e-03 5.788461929198394397e-04
3.289914379131009259e-02 4.013281929718483243e-03 5.802518260473380060e-04
3.301036217063715861e-02 4.533309422766612640e-03 5.745052191740758095e-04
3.312158054996421075e-02 3.591706344713820054e-03 5.586172110322508867e-04
3.323279892929126289e-02 3.525177867430159817e-03 5.543344149242467305e-04
3.334401730861832891e-02 3.719631410996505211e-03 5.526031963963745674e-04
3.345523568794538105e-02 2.979563414318306402e-03 5.437363836260875613e-04
3.356645406727243319e-02 2.761517089185542423e-03 5.389645283821051713e-04
3.367767244659949921e-02 3.889031510988575496e-03 5.522559784144555513e-04
3.378889082592655135e-02 3.389006933797348436e-03 5.417631559130371569e-04
3.390010920525360349e-02 2.508646245868301206e-03 5.318235096629088344e-04
3.401132758458066951e-02 3.725063889196043865e-03 5.429788588166272476e-04
3.412254596390772166e-02 3.374593656422425481e-03 5.374447716358082957e-04
3.423376434323477380e-02 3.588533645497882230e-03 5.359303068268139562e-04
3.434498272256183982e-02 3.210070980622457132e-03 5.333460368123205250e-04
3.445620110188889196e-02 3.331849257531268454e-03 5.371203281677456708e-04
3.456741948121594410e-02 3.344153560383478219e-03 5.332785178643568514e-04
3.467863786054301012e-02 3.746037779984241062e-03 5.349900079390979999e-04
3.478985623987006226e-02 3.194520188618796969e-03 5.295173651202771852e-04
3.490107461919711440e-02 2.844233771250984782e-03 5.242760357158581744e-04
3.501229299852418042e-02 2.895944826885474277e-03 5.234247019343630462e-04
3.512351137785123256e-02 3.491283838950191842e-03 5.297587438985842988e-04
3.523472975717828470e-02 3.536157479583482144e-03 5.294191930576673403e-04
3.534594813650535072e-02 2.834540789871529270e-03 5.189448879400332653e-04
3.545716651583240286e-02 2.536935356011474352e-03 5.176927585896782050e-04
3.556838489515945501e-02 1.988384950099807147e-03 5.121260447010038668e-04
3.567960327448652103e-02 2.235234363235725358e-03 5.133072048049384809e-04
3.579082165381357317e-02 2.605181740613117525e-03 5.161984115454748296e-04
3.590204003314062531e-02 2.669413629651500031e-03 5.133989743399861678e-04
3.601325841246769133e-02 2.615796870126762402e-03 5.127607129524811404e-04
3.612447679179474347e-02 3.033684689693710163e-03 5.138151666817935160e-04
3.623569517112179561e-02 3.298813464074745044e-03 5.155589323447115797e-04
3.634691355044886163e-02 2.850631686820283978e-03 5.102842576071057405e-04
3.645813192977591377e-02 2.759270561025223972e-03 5.061784594121162368e-04
3.656935030910296591e-02 3.154208905980712685e-03 5.084373800326028644e-04
3.668056868843003193e-02 1.197253503673181840e-03 4.948182594527720428e-04
3.679178706775708407e-02 2.642807913288622301e-03 5.033735131151677528e-04
3.690300544708413621e-02 2.119130955373769998e-03 4.977558170059343760e-04
3.701422382641120223e-02 3.000103278631573167e-03 5.052266560467615162e-04
3.712544220573825438e-02 2.532099024339044130e-03 5.026905484949823703e-04
3.723666058506530652e-02 1.822780246690927641e-03 4.918602320471431076e-04
3.734787896439237254e-02 2.920103701253954492e-03 5.039969038789297558e-04
3.745909734371942468e-02 2.735652090492805832e-03 4.980922163014214364e-04
3.757031572304647682e-02 3.133334665314225359e-03 5.003649341870391358e-04
3.768153410237354284e-02 2.481649667785634783e-03 4.955400963884302665e-04
3.779275248170059498e-02 3.265492099610044219e-03 5.017779086128128273e-04
3.790397086102764712e-02 3.916941740796132942e-03 5.053754647527673770e-04
3.801518924035471314e-02 2.500140152085238154e-03 4.924582323802141181e-04
3.812640761968176528e-02 3.160108434488006351e-03 4.965275216217934729e-04
3.823762599900881742e-02 3.339105128222816243e-03 4.973575231586349317e-04
3.834884437833588344e-02 2.125726164161439308e-03 4.885382182127106544e-04
3.846006275766293558e-02 2.727622136588149504e-03 4.921487346720294616e-04
3.857128113698998773e-02 2.321669465105539315e-03 4.889085153279737906e-04
3.868249951631705374e-02 2.861217012003171994e-03 4.885606491599315095e-04
3.879371789564410589e-02 2.716773460376020743e-03 4.893049806105134476e-04
3.890493627497115803e-02 3.261774948393334622e-03 4.926951117488204005e-04
3.901615465429822405e-02 2.506132901104955735e-03 4.840924799083675886e-04
3.912737303362527619e-02 3.267810552551871778e-03 4.912906640893469025e-04
3.923859141295232833e-02 2.545434858695631158e-03 4.839902295248213015e-04
3.934980979227939435e-02 2.670788808114984980e-03 4.844635508226785114e-04
3.946102817160644649e-02 2.658192998163871196e-03 4.817771533154174553e-04
3.957224655093349863e-02 1.862889337860315631e-03 4.722952112635725170e-04
3.968346493026056465e-02 2.356573125100430710e-03 4.793718220633444004e-04
3.979468330958761679e-02 2.378092352476674637e-03 4.798587359562346468e-04
3.990590168891466893e-02 3.500236756322477188e-03 4.866667830986865558e-04
4.001712006824173495e-02 2.515220686169786224e-03 4.780380632326998035e-04
4.012833844756878710e-02 2.846428970656764840e-03 4.793202720615942123e-04
4.023955682689583924e-02 2.032757557686559746e-03 4.707523490750210133e-04
4.035077520622290526e-02 2.875170356516128928e-03 4.766526710283457255e-04
4.046199358554995740e-02 3.342623499745216858e-03 4.814488713881210995e-04
4.057321196487700954e-02 2.898500211283579209e-03 4.751854011014943423e-04
4.068443034420407556e-02 2.492688162331210822e-03 4.746928526958392588e-04
4.079564872353112770e-02 1.963379240080966731e-03 4.675641415200350683e-04
4.090686710285817984e-02 2.045881765617447307e-03 4.676681266169104467e-04
4.101808548218524586e-02 2.405198248649646764e-03 4.700070407810029113e-04
4.112930386151229800e-02 2.908425012846660440e-03 4.737453575712697110e-04
4.124052224083935014e-02 2.156808957680358269e-03 4.651773926648137994e-04
4.135174062016641616e-02 2.292795453602562011e-03 4.692050465546943896e-04
4.146295899949346830e-02 2.584628874075952515e-03 4.669117193098830084e-04
4.157417737882052045e-02 1.913524239677527605e-03 4.619674173376142048e-04
4.168539575814758646e-02 2.584858779482595431e-03 4.702439561707872045e-04
4.179661413747463861e-02 3.132955910206524502e-03 4.717290154307454903e-04
4.190783251680169075e-02 2.749624078451549936e-03 4.652574338868834068e-04
4.201905089612875677e-02 2.137701810900376892e-03 4.604091807206891216e-04
4.213026927545580891e-02 2.046478163222387875e-03 4.604883718421602526e-04
4.224148765478286105e-02 1.274604804026802096e-03 4.527603584257958473e-04
4.235270603410992707e-02 2.503104755657108854e-03 4.714244788833191939e-04
4.246392441343697921e-02 2.175002190240863525e-03 4.759976287954871175e-04
4.257514279276403135e-02 1.757702983711886130e-03 4.693902973322626828e-04
4.268636117209109737e-02 2.411615093150101113e-03 4.821949167533303381e-04
4.279757955141814951e-02 2.052608572249894209e-03 4.782881959452146966e-04
4.290879793074520165e-02 2.214965562961985351e-03 4.779880625209636581e-04
4.302001631007226767e-02 7.472720291614078775e-03 5.234069691633908396e-04
