# q intensity propagated_error
2.455776534178084197e-02 2.825041576835877338e-02 1.671564910839091437e-04
2.466898372110789758e-02 2.865147521177526316e-02 1.680703408370227579e-04
2.478020210043495319e-02 2.819968163864966168e-02 1.659197896650083722e-04
2.489142047976201227e-02 2.793205662441744855e-02 1.652940231902767050e-04
2.500263885908906789e-02 2.803748098227874103e-02 1.651534043281127075e-04
2.511385723841612350e-02 2.794718963877745183e-02 1.638324421233606674e-04
2.522507561774318258e-02 2.833896729457035038e-02 1.650938561970956438e-04
2.533629399707023819e-02 2.792504461223177525e-02 1.637537701150123311e-04
2.544751237639729380e-02 2.800601854940943866e-02 1.632857445456533405e-04
2.555873075572435288e-02 2.763845737600080857e-02 1.616443234113516131e-04
2.566994913505140849e-02 2.740425272605128207e-02 1.609468431460830897e-04
2.578116751437846410e-02 2.701950759875598046e-02 1.590210724287133032e-04
2.589238589370552318e-02 2.727373255324608281e-02 1.594405689171445191e-04
2.600360427303257879e-02 2.701594001697965597e-02 1.585335616393741766e-04
2.611482265235963440e-02 2.725899813720715839e-02 1.588677484951632652e-04
2.622604103168669348e-02 2.711074913466495623e-02 1.579291837742315217e-04
2.633725941101374909e-02 2.723017929064028980e-02 1.582112901553386734e-04
2.644847779034080471e-02 2.723407475099878100e-02 1.578753096632995619e-04
2.655969616966786379e-02 2.745878375308101471e-02 1.580513746693361463e-04
2.667091454899491940e-02 2.691790922777108352e-02 1.561388907357861297e-04
2.678213292832197501e-02 2.734502884534158532e-02 1.574578896801952449e-04
2.689335130764903409e-02 2.700527895186038627e-02 1.557875501984800693e-04
2.700456968697608970e-02 2.677566607223886425e-02 1.545503709263573266e-04
2.711578806630314531e-02 2.690824478452237545e-02 1.548146510162398031e-04
2.722700644563020439e-02 2.698180341499418350e-02 1.546008711800766632e-04
2.733822482495726000e-02 2.720785977881396561e-02 1.550094908559004740e-04
2.744944320428431561e-02 2.673156994115758259e-02 1.533255483671489168e-04
2.756066158361137469e-02 2.677020895771420675e-02 1.530873045815660163e-04
2.767187996293843030e-02 2.659569322977280159e-02 1.521200110927790937e-04
2.778309834226548591e-02 2.700138615202384365e-02 1.534081496688332951e-04
2.789431672159254499e-02 2.683284745061629076e-02 1.527306940806894984e-04
2.800553510091960061e-02 2.665301033794977709e-02 1.515831835771562454e-04
2.811675348024665622e-02 2.681144366105338295e-02 1.519483143416477120e-04
2.822797185957371530e-02 2.677244048815549324e-02 1.517039244709075894e-04
2.833919023890077091e-02 2.661715418341578654e-02 1.506180192855273447e-04
2.845040861822782652e-02 2.661263795917276354e-02 1.499992256041305630e-04
2.856162699755488560e-02 2.668661049987892248e-02 1.503327323480892186e-04
2.867284537688194121e-02 2.656579242854369138e-02 1.497809985985646168e-04
2.878406375620899682e-02 2.672996129370301677e-02 1.496916554822199351e-04
2.889528213553605590e-02 2.660998995483545779e-02 1.494569691995218676e-04
2.900650051486311151e-02 2.662817902921732136e-02 1.491074951331498877e-04
2.911771889419016712e-02 2.637734579019173145e-02 1.477828699955497521e-04
2.922893727351722620e-02 2.630005901220002634e-02 1.474822146873667019e-04
2.934015565284428181e-02 2.643371683980244580e-02 1.477305633667091826e-04
2.945137403217133742e-02 2.619622924226836652e-02 1.464050702629894965e-04
2.956259241149839651e-02 2.650337137048360339e-02 1.470495744764201368e-04
2.967381079082545212e-02 2.638932443418791698e-02 1.467409461174061481e-04
2.978502917015250773e-02 2.649759477864698648e-02 1.467981152152265597e-04
2.989624754947956681e-02 2.623388701334389977e-02 1.455056740907371244e-04
3.000746592880662242e-02 2.627213969986522471e-02 1.456026046771700358e-04
3.011868430813367803e-02 2.628136761438008145e-02 1.454544495181336742e-04
3.022990268746073711e-02 2.598851389002967624e-02 1.440062653748005745e-04
3.034112106678779272e-02 2.603650981160548702e-02 1.442996080110908242e-04
3.045233944611484833e-02 2.631090007237651962e-02 1.448385581280257819e-04
3.056355782544190741e-02 2.625245710105868907e-02 1.440209843998330446e-04
3.067477620476896302e-02 2.629962941784829214e-02 1.442558863575895453e-04
3.078599458409601863e-02 2.596031407400002655e-02 1.430378107536074716e-04
3.089721296342307771e-02 2.624509888866364410e-02 1.433369229986446213e-04
3.100843134275013332e-02 2.648046995663413949e-02 1.437429168265312866e-04
3.111964972207718894e-02 2.618414426517378865e-02 1.451188730334141319e-04
3.123086810140424802e-02 2.599215780150604393e-02 1.464709989392123262e-04
3.134208648073130710e-02 2.574592148639189698e-02 1.467845542569446305e-04
3.145330486005835924e-02 2.579315078562301536e-02 1.479291053480940579e-04
3.156452323938541138e-02 2.630863017243138119e-02 1.498774626915562404e-04
3.167574161871247740e-02 2.573919336023774637e-02 1.480007426992866121e-04
3.178695999803952954e-02 2.565540313904680209e-02 1.482266426099423636e-04
3.189817837736658168e-02 2.600630957475520005e-02 1.495089611091146228e-04
3.200939675669364770e-02 2.607833601338381199e-02 1.494022187765457928e-04
3.212061513602069984e-02 2.579191650107221651e-02 1.486758094043325344e-04
3.223183351534775198e-02 2.577398519059648577e-02 1.488961046502033036e-04
3.234305189467481800e-02 2.578244150521395717e-02 1.488989593506325816e-04
3.245427027400187014e-02 2.579751762877210974e-02 1.489015669203567994e-04
3.256548865332892229e-02 2.551297742656319020e-02 1.480427369649581107e-04
3.267670703265598831e-02 2.573587781116081635e-02 1.488212530183688606e-04
3.278792541198304045e-02 2.558398652733577874e-02 1.482752542115963661e-04
3.289914379131009259e-02 2.557531213123066111e-02 1.477158955256318445e-04
3.301036217063715861e-02 2.578325347479018884e-02 1.452043944579847095e-04
3.312158054996421075e-02 2.581507963504912212e-02 1.431716633746422072e-04
3.323279892929126289e-02 2.575475932499067533e-02 1.421462163499398934e-04
3.334401730861832891e-02 2.559168023624643767e-02 1.412331604588467249e-04
3.345523568794538105e-02 2.567839579110150344e-02 1.408543696169352202e-04
3.356645406727243319e-02 2.562652310481825305e-02 1.400559166026623824e-04
3.367767244659949921e-02 2.585647385910462906e-02 1.405452505264261868e-04
3.378889082592655135e-02 2.558505052250329564e-02 1.392118407322562258e-04
3.390010920525360349e-02 2.567475223458383707e-02 1.390984055141072809e-04
3.401132758458066951e-02 2.569220290296462400e-02 1.388924998830695873e-04
3.412254596390772166e-02 2.556890846053778282e-02 1.383676401492628610e-04
3.423376434323477380e-02 2.531792832420092995e-02 1.371645741271881500e-04
3.434498272256183982e-02 2.555302430438875436e-02 1.376902363276703422e-04
3.445620110188889196e-02 2.575589181979950557e-02 1.381744167302297467e-04
3.456741948121594410e-02 2.561002655535192865e-02 1.368906930467285389e-04
3.467863786054301012e-02 2.553177136694679411e-02 1.366440902530757122e-04
3.478985623987006226e-02 2.549527051414527887e-02 1.364388985495077053e-04
3.490107461919711440e-02 2.537005314925307869e-02 1.355829869368425033e-04
3.501229299852418042e-02 2.548603350387160238e-02 1.356100711345314090e-04
3.512351137785123256e-02 2.559664223119488893e-02 1.357430276695042657e-04
3.523472975717828470e-02 2.566231096988660573e-02 1.355567484564463980e-04
3.534594813650535072e-02 2.543382138600011610e-02 1.346677590282797259e-04
3.545716651583240286e-02 2.547361543537474474e-02 1.347602499923206175e-04
3.556838489515945501e-02 2.558595383409099228e-02 1.347745487936006722e-04
3.567960327448652103e-02 2.567360752823656320e-02 1.346206776147185766e-04
3.579082165381357317e-02 2.559272629053261847e-02 1.343511632143408073e-04
3.590204003314062531e-02 2.534180673936627104e-02 1.335218450367791829e-04
3.601325841246769133e-02 2.558659916427977882e-02 1.337771570337345842e-04
3.612447679179474347e-02 2.529479266698455089e-02 1.328202081348882769e-04
3.623569517112179561e-02 2.512843722428210677e-02 1.322168873765153089e-04
3.634691355044886163e-02 2.525683913962960964e-02 1.321951780537013849e-04
3.645813192977591377e-02 2.510773728523708545e-02 1.314471963623176586e-04
3.656935030910296591e-02 2.499130483485172832e-02 1.309817087588431041e-04
3.668056868843003193e-02 2.550999950348181028e-02 1.323889204011894207e-04
3.679178706775708407e-02 2.511810088514617248e-02 1.307873724969849105e-04
3.690300544708413621e-02 2.524809351291752713e-02 1.311234301128978783e-04
3.701422382641120223e-02 2.505053826024422614e-02 1.304839993997585379e-04
3.712544220573825438e-02 2.535740645466344825e-02 1.310170000486582712e-04
3.723666058506530652e-02 2.516144422727828803e-02 1.301087951430148350e-04
3.734787896439237254e-02 2.523319441189706205e-02 1.302563749586182259e-04
3.745909734371942468e-02 2.500850569047540981e-02 1.294427631263060012e-04
3.757031572304647682e-02 2.510171238416442768e-02 1.294259906694569383e-04
3.768153410237354284e-02 2.515593889980927145e-02 1.295464857988426369e-04
3.779275248170059498e-02 2.518539998966302235e-02 1.290836446726726641e-04
3.790397086102764712e-02 2.502166358308262686e-02 1.283553230399577395e-04
3.801518924035471314e-02 2.510415628134188282e-02 1.286841103475938586e-04
3.812640761968176528e-02 2.504874482883913747e-02 1.283352008071756941e-04
3.823762599900881742e-02 2.491459949700311136e-02 1.276740329854544127e-04
3.834884437833588344e-02 2.509561081715033434e-02 1.282095269037846603e-04
3.846006275766293558e-02 2.497945622242258093e-02 1.276511560360626529e-04
3.857128113698998773e-02 2.532595858383722073e-02 1.280782964708073249e-04
3.868249951631705374e-02 2.492218225317547470e-02 1.269078285655160802e-04
3.879371789564410589e-02 2.498092929339790907e-02 1.271517654514254592e-04
3.890493627497115803e-02 2.489316976296097536e-02 1.264975767130729596e-04
3.901615465429822405e-02 2.485698050378496241e-02 1.260735990588578148e-04
3.912737303362527619e-02 2.484089893173235461e-02 1.260229578800102761e-04
3.923859141295232833e-02 2.493339688368717208e-02 1.261840366791102124e-04
3.934980979227939435e-02 2.506037713807280146e-02 1.261780618202372538e-04
3.946102817160644649e-02 2.474520180283623291e-02 1.254009898088483403e-04
3.957224655093349863e-02 2.456358688451708294e-02 1.245097449413411672e-04
3.968346493026056465e-02 2.490312810035465174e-02 1.251390771350344936e-04
3.979468330958761679e-02 2.491254594482645787e-02 1.253328008521297280e-04
3.990590168891466893e-02 2.458085251187916431e-02 1.242070089483983495e-04
4.001712006824173495e-02 2.491434771433973308e-02 1.246504166667363725e-04
4.012833844756878710e-02 2.470227499756279602e-02 1.240918625635520258e-04
4.023955682689583924e-02 2.459799910506589929e-02 1.237455906880841137e-04
4.035077520622290526e-02 2.454433979758051387e-02 1.233063131866864929e-04
4.046199358554995740e-02 2.478016239762537501e-02 1.236408957810241477e-04
4.057321196487700954e-02 2.464269577127243052e-02 1.231565442652298608e-04
4.068443034420407556e-02 2.481756743693808859e-02 1.236081189242460338e-04
4.079564872353112770e-02 2.478449169376388886e-02 1.230036807138527996e-04
4.090686710285817984e-02 2.479485840129351873e-02 1.231034833357686018e-04
4.101808548218524586e-02 2.464092874385700321e-02 1.225066059399301853e-04
4.112930386151229800e-02 2.469470516068374144e-02 1.223552984423882238e-04
4.124052224083935014e-02 2.452569252965283372e-02 1.219772143665353746e-04
4.135174062016641616e-02 2.487341325620158819e-02 1.228723589462883269e-04
4.146295899949346830e-02 2.459545773960099962e-02 1.216298065680324937e-04
4.157417737882052045e-02 2.471585236411776715e-02 1.216981001246238690e-04
4.168539575814758646e-02 2.482590066391502856e-02 1.220573415514637886e-04
4.179661413747463861e-02 2.463823237691598403e-02 1.212978845606298362e-04
4.190783251680169075e-02 2.452128190669253596e-02 1.206697690205481348e-04
4.201905089612875677e-02 2.456968566848853619e-02 1.208140029914521777e-04
4.213026927545580891e-02 2.461563141855345124e-02 1.208639211736914148e-04
4.224148765478286105e-02 2.458286823803248339e-02 1.208189963641467812e-04
4.235270603410992707e-02 2.459000496612085904e-02 1.229453749451306442e-04
4.246392441343697921e-02 2.484730005664624944e-02 1.248211176341445074e-04
4.257514279276403135e-02 2.442596744082714197e-02 1.239478804511302270e-04
4.268636117209109737e-02 2.487343189515429931e-02 1.256252611612461434e-04
4.279757955141814951e-02 2.476937540014258546e-02 1.254845873958442383e-04
4.290879793074520165e-02 2.461759476483682194e-02 1.252329515266366138e-04
4.302001631007226767e-02 2.431044382031713816e-02 1.245093942567442188e-04
